student_id,age,gender,department,year,semester,attendance_percentage,internal_marks,assignment_score,exam_score,previous_semester_score,cgpa,arrear_count,study_hours,activity_count,certificate_count,technical_activity_count,sports_activity_count,positive_review_count,negative_review_count,discipline_score,teacher_feedback_score,communication_score,teamwork_score,skill_score,academic_progress,performance_category,at_risk
STU2026049,22,Male,Electrical,II,Sem-3,86,91,90,86,94,8.8,0,26,0,4,0,0,7,0,100,95,91,81,88,Declining,Excellent,0
STU2026050,21,Female,Electronics & Comm,III,Sem-6,63,70,62,60,64,6.4,1,24,6,0,2,4,6,0,100,71,68,68,59,Declining,Average,0
STU2026051,19,Female,Computer Science,II,Sem-4,95,92,92,79,87,8.42,0,27,0,2,0,0,6,0,96,93,91,91,80,Declining,Excellent,0
STU2026052,20,Female,Mechanical,IV,Sem-7,94,88,89,85,92,8.62,0,30,8,0,4,4,5,0,98,90,84,81,83,Declining,Very Good,0
STU2026053,18,Female,Computer Science,I,Sem-2,45,55,40,38,40,4.48,1,16,5,5,3,2,3,2,79,42,55,52,68,Declining,Needs Improvement,1
STU2026054,19,Male,Information Technology,I,Sem-2,70,73,68,69,75,7.06,0,25,4,7,2,2,4,0,100,76,73,76,94,Declining,Very Good,0
STU2026055,22,Male,Computer Science,IV,Sem-8,93,96,97,91,97,9.3,0,32,4,3,3,1,8,0,96,100,89,91,98,Declining,Excellent,0
STU2026056,22,Female,Mechanical,III,Sem-6,46,43,44,37,30,4.0,3,18,10,0,4,6,5,3,62,35,50,50,45,Improving,At Risk,1
STU2026057,19,Female,AIDS,II,Sem-3,94,81,89,92,85,8.76,0,29,5,2,0,5,7,0,100,97,91,83,81,Improving,Excellent,0
STU2026058,19,Male,Mechanical,III,Sem-6,84,91,91,83,85,8.62,0,30,1,7,0,1,6,0,98,91,86,89,98,Declining,Excellent,0
STU2026059,22,Female,Computer Science,IV,Sem-7,48,53,56,51,55,5.18,3,17,1,3,1,0,3,3,68,43,54,58,59,Declining,Needs Improvement,1
STU2026060,18,Female,AIDS,III,Sem-6,45,38,47,49,44,4.46,1,14,8,2,3,5,5,3,69,40,52,50,54,Improving,At Risk,1
STU2026061,19,Female,AIDS,I,Sem-2,71,65,75,68,74,6.68,0,23,3,5,0,3,6,0,100,80,75,66,80,Declining,Very Good,0
STU2026062,21,Female,Information Technology,I,Sem-2,45,47,40,34,36,4.0,1,14,9,3,0,9,3,2,74,38,50,51,48,Declining,At Risk,1
STU2026063,19,Male,Electronics & Comm,II,Sem-3,75,63,63,58,54,6.0,1,21,3,5,0,3,5,0,99,74,61,64,77,Improving,Good,0
STU2026064,21,Male,AIDS,I,Sem-2,62,64,58,67,75,6.58,0,19,9,0,5,4,5,0,100,69,56,58,67,Declining,Average,0
STU2026065,21,Female,Electrical,I,Sem-2,80,72,71,78,74,7.56,0,22,2,4,2,0,6,0,100,85,78,78,87,Improving,Very Good,0
STU2026066,22,Female,Computer Science,I,Sem-1,59,61,64,66,70,6.4,2,23,1,5,1,0,5,3,64,56,59,67,74,Declining,Average,0
STU2026067,21,Male,Computer Science,I,Sem-1,68,66,65,56,49,6.0,3,22,8,5,5,3,3,0,100,64,66,67,87,Improving,Good,0
STU2026068,21,Male,Electronics & Comm,III,Sem-6,46,40,41,49,48,4.54,1,15,8,5,0,8,4,2,77,41,50,50,56,Improving,Needs Improvement,1
STU2026069,20,Male,Information Technology,III,Sem-6,90,82,85,83,87,8.26,0,25,2,0,0,2,6,0,100,96,92,89,74,Declining,Very Good,0
STU2026070,20,Male,Electronics & Comm,III,Sem-6,86,83,75,72,68,7.64,0,24,9,0,5,4,5,0,99,86,86,84,83,Improving,Very Good,0
STU2026071,21,Female,Mechanical,IV,Sem-8,59,55,49,54,59,5.44,1,17,10,7,4,6,5,1,86,56,59,58,84,Declining,Good,0
STU2026072,18,Male,Information Technology,III,Sem-5,88,78,81,81,76,7.98,0,23,7,6,1,6,6,0,100,88,78,82,94,Improving,Excellent,0
STU2026073,22,Female,Computer Science,IV,Sem-7,64,70,57,62,67,6.52,0,22,6,6,2,4,3,0,100,64,55,62,82,Declining,Good,0
STU2026074,19,Female,AIDS,III,Sem-5,58,59,68,64,72,6.2,1,21,4,5,1,3,5,0,97,68,57,65,75,Declining,Good,0
STU2026075,18,Male,Electronics & Comm,III,Sem-5,47,49,50,46,42,4.72,3,15,2,7,2,0,6,3,69,48,55,50,76,Improving,Average,0
STU2026076,21,Male,Electrical,IV,Sem-8,87,75,85,88,82,8.28,0,25,7,7,0,7,5,0,100,87,82,76,96,Improving,Excellent,0
STU2026077,18,Female,Electrical,I,Sem-2,93,92,86,89,96,9.02,0,29,2,0,2,0,5,0,100,93,80,89,80,Declining,Excellent,0
STU2026078,19,Male,Information Technology,IV,Sem-8,71,62,70,68,69,6.56,0,22,6,5,5,1,4,0,100,71,69,62,91,Declining,Good,0
STU2026079,20,Male,Mechanical,IV,Sem-8,59,55,49,52,46,5.32,3,20,2,5,2,0,6,2,80,53,50,52,69,Improving,Average,0
STU2026080,22,Female,AIDS,III,Sem-5,83,79,69,78,86,7.84,0,23,0,5,0,0,5,0,98,80,77,81,83,Declining,Excellent,0
STU2026081,21,Male,Information Technology,II,Sem-3,49,48,40,48,56,4.8,1,18,5,2,4,1,5,2,73,42,50,50,55,Declining,Needs Improvement,1
STU2026082,22,Male,AIDS,IV,Sem-7,65,65,60,65,66,6.5,3,23,7,3,4,3,4,3,66,53,60,61,75,Declining,Average,0
STU2026083,22,Female,Electrical,III,Sem-6,67,61,64,60,60,6.04,1,24,7,5,4,3,4,0,100,70,61,64,87,Improving,Good,0
STU2026084,18,Male,Electronics & Comm,IV,Sem-7,81,91,83,88,91,8.92,0,24,6,0,3,3,7,0,98,93,86,78,79,Declining,Excellent,0
STU2026085,20,Male,Computer Science,III,Sem-5,90,83,80,79,72,8.06,0,26,7,2,6,1,8,0,100,95,75,79,96,Improving,Excellent,0
STU2026086,18,Female,Information Technology,II,Sem-4,45,41,46,37,30,4.0,1,16,10,7,0,10,2,4,56,35,50,50,65,Improving,At Risk,1
STU2026087,22,Male,AIDS,II,Sem-4,65,60,61,65,62,6.3,3,23,1,8,1,0,3,1,89,60,70,57,86,Improving,Good,0
STU2026088,21,Female,Electronics & Comm,I,Sem-2,82,78,76,82,78,8.04,0,23,5,8,2,3,6,0,100,89,86,86,100,Improving,Excellent,0
STU2026089,21,Male,Information Technology,I,Sem-2,45,34,40,31,33,4.0,2,16,6,8,3,3,4,1,93,41,50,50,74,Declining,Needs Improvement,1
STU2026090,20,Male,AIDS,III,Sem-6,45,44,50,49,53,4.7,2,14,7,7,2,5,4,1,89,46,50,50,71,Declining,Average,0
STU2026091,22,Male,Mechanical,III,Sem-6,45,47,46,43,49,4.46,3,18,6,2,5,1,5,3,66,39,50,51,59,Declining,At Risk,1
STU2026092,20,Female,Electronics & Comm,I,Sem-1,76,73,72,65,61,6.82,0,27,9,7,0,9,5,0,96,81,74,81,91,Improving,Very Good,0
STU2026093,20,Female,Electrical,I,Sem-1,76,74,82,68,64,7.04,0,25,5,6,2,3,6,0,98,83,70,69,93,Improving,Very Good,0
STU2026094,19,Female,Mechanical,IV,Sem-7,51,57,59,48,49,5.16,3,18,3,1,1,2,3,4,49,39,60,50,51,Declining,At Risk,1
STU2026095,20,Female,AIDS,I,Sem-2,96,83,84,89,97,8.66,0,25,1,3,1,0,6,0,98,94,92,80,88,Declining,Excellent,0
STU2026096,20,Female,Electrical,II,Sem-3,45,46,50,48,53,4.72,2,18,9,1,1,8,4,1,90,43,51,50,42,Declining,Needs Improvement,1
STU2026097,22,Female,Information Technology,II,Sem-3,70,55,57,68,64,6.28,2,19,2,5,2,0,4,0,100,66,64,58,78,Improving,Good,0
STU2026098,20,Male,AIDS,III,Sem-5,77,74,67,79,76,7.7,0,25,9,2,1,8,6,0,100,80,65,67,72,Improving,Very Good,0
STU2026099,18,Male,AIDS,III,Sem-5,82,83,72,86,87,8.48,0,28,4,7,1,3,8,0,99,92,85,75,98,Declining,Excellent,0
STU2026100,18,Male,Electrical,IV,Sem-8,63,66,60,64,66,6.48,3,24,5,6,1,4,6,0,100,72,59,63,80,Declining,Very Good,0
STU2026101,19,Female,Computer Science,III,Sem-6,47,45,54,54,59,5.04,1,21,2,5,2,0,5,2,73,50,61,55,69,Declining,Needs Improvement,1
STU2026102,21,Female,Electronics & Comm,IV,Sem-7,45,44,50,40,38,4.16,3,15,0,0,0,0,5,4,51,35,50,50,40,Improving,At Risk,1
STU2026103,21,Male,Electronics & Comm,III,Sem-6,59,52,57,59,60,5.62,1,20,8,7,6,2,5,1,85,61,55,59,94,Declining,Good,0
STU2026104,20,Female,Mechanical,III,Sem-5,51,48,43,40,33,4.32,1,19,5,7,4,1,6,2,80,50,50,50,81,Improving,Average,0
STU2026105,22,Female,Information Technology,IV,Sem-8,74,77,78,70,77,7.28,0,26,0,5,0,0,4,0,100,74,72,77,79,Declining,Very Good,0
STU2026106,18,Female,Electronics & Comm,II,Sem-3,67,72,74,64,63,6.72,0,20,9,1,1,8,4,0,100,74,72,70,66,Improving,Good,0
STU2026107,19,Female,AIDS,II,Sem-4,70,73,73,57,53,6.34,3,20,8,5,5,3,7,0,100,76,70,65,90,Improving,Very Good,0
STU2026108,19,Female,Mechanical,III,Sem-6,84,80,75,81,79,8.06,0,22,4,8,2,2,5,0,99,81,76,80,100,Improving,Excellent,0
STU2026109,19,Female,Electronics & Comm,IV,Sem-8,76,73,69,68,63,7.0,0,24,10,8,3,7,7,0,100,79,65,67,99,Improving,Excellent,0
STU2026110,18,Female,AIDS,I,Sem-2,95,86,96,85,83,8.54,0,31,8,4,4,4,7,0,97,98,82,91,100,Improving,Excellent,0
STU2026111,22,Male,Information Technology,I,Sem-1,69,68,78,73,80,7.1,0,21,10,2,0,10,5,0,100,79,80,74,69,Declining,Good,0
STU2026112,19,Female,Electronics & Comm,III,Sem-5,85,92,87,79,76,8.42,0,28,2,0,2,0,8,0,100,99,83,92,80,Improving,Excellent,0
STU2026113,20,Male,Computer Science,III,Sem-5,90,87,95,96,100,9.24,0,26,8,7,2,6,6,0,96,96,89,84,100,Declining,Excellent,0
STU2026114,21,Female,AIDS,II,Sem-3,86,76,77,74,78,7.48,0,28,6,8,2,4,4,0,100,82,73,74,100,Declining,Excellent,0
STU2026115,19,Female,Electronics & Comm,II,Sem-3,50,53,53,52,53,5.24,3,20,9,0,2,7,5,2,71,51,50,55,50,Declining,Needs Improvement,1
STU2026116,20,Male,Electrical,III,Sem-5,73,72,72,70,66,7.08,0,24,2,7,2,0,6,0,100,81,80,79,95,Improving,Very Good,0
STU2026117,22,Male,Information Technology,I,Sem-2,67,62,62,58,66,5.96,1,23,8,2,1,7,6,0,100,75,74,63,67,Declining,Good,0
STU2026118,19,Female,Computer Science,IV,Sem-7,66,62,69,54,60,5.72,3,24,4,0,3,1,5,0,95,69,62,67,62,Declining,Average,0
STU2026119,18,Male,Electrical,III,Sem-5,63,75,62,73,66,7.38,0,21,6,2,6,0,5,0,100,74,73,67,83,Improving,Good,0
STU2026120,21,Female,Electrical,IV,Sem-7,81,82,72,77,72,7.9,0,22,8,6,4,4,5,0,98,81,67,82,99,Improving,Excellent,0
STU2026121,18,Female,Electrical,IV,Sem-8,82,84,86,78,78,8.04,0,24,1,0,1,0,8,0,100,94,74,80,73,Improving,Very Good,0
STU2026122,19,Male,Computer Science,I,Sem-2,77,77,64,68,61,7.16,0,23,7,3,4,3,5,0,95,77,67,73,83,Improving,Very Good,0
STU2026123,20,Male,AIDS,III,Sem-6,47,55,51,54,55,5.44,2,15,8,2,5,3,6,4,47,44,56,57,65,Declining,Needs Improvement,1
STU2026124,21,Female,AIDS,IV,Sem-8,46,42,54,43,42,4.26,2,20,2,7,0,2,5,4,55,37,50,50,66,Improving,Needs Improvement,1
STU2026125,19,Female,Information Technology,III,Sem-5,98,87,83,85,78,8.58,0,27,6,0,6,0,5,0,98,94,85,89,92,Improving,Very Good,0
STU2026126,19,Female,Electronics & Comm,I,Sem-1,97,84,96,87,85,8.58,0,28,3,8,2,1,7,0,100,98,94,91,100,Improving,Excellent,0
STU2026127,20,Female,Electronics & Comm,III,Sem-6,71,68,71,64,62,6.56,0,20,5,6,0,5,5,0,97,70,56,62,77,Improving,Very Good,0
STU2026128,22,Female,Electronics & Comm,II,Sem-3,57,59,56,61,63,6.02,2,22,7,7,3,4,4,3,61,49,54,63,84,Declining,Average,0
STU2026129,22,Female,Information Technology,I,Sem-1,81,91,77,75,80,8.14,0,25,10,3,0,10,6,0,95,91,81,86,82,Declining,Excellent,0
STU2026130,21,Female,Computer Science,IV,Sem-8,45,40,45,29,30,4.0,3,17,4,8,2,2,2,4,49,35,50,50,70,Declining,At Risk,1
STU2026131,22,Male,Information Technology,II,Sem-4,83,88,87,75,78,8.02,0,26,7,3,5,2,6,0,99,90,76,86,96,Declining,Excellent,0
STU2026132,18,Male,Electrical,IV,Sem-8,64,72,61,64,58,6.72,0,23,6,5,4,2,4,0,100,72,62,66,89,Improving,Good,0
STU2026133,19,Female,Electronics & Comm,I,Sem-1,75,83,69,71,73,7.58,0,21,3,2,3,0,7,0,96,85,76,72,80,Declining,Very Good,0
STU2026134,22,Male,Mechanical,IV,Sem-8,65,55,54,65,68,6.1,1,17,6,3,6,0,3,3,68,50,64,66,79,Declining,Needs Improvement,1
STU2026135,20,Male,AIDS,III,Sem-6,65,67,69,68,65,6.76,0,24,9,6,0,9,6,0,98,73,60,61,78,Improving,Very Good,0
STU2026136,20,Male,Electrical,II,Sem-4,51,50,48,55,61,5.3,2,22,4,1,1,3,3,2,77,50,63,59,53,Declining,Needs Improvement,1
STU2026137,22,Female,Computer Science,I,Sem-1,53,60,60,60,52,6.0,2,20,6,1,5,1,4,2,81,54,63,55,67,Improving,Needs Improvement,1
STU2026138,19,Female,Electronics & Comm,III,Sem-6,45,46,47,49,50,4.78,2,20,1,5,1,0,3,4,56,35,50,50,61,Declining,At Risk,1
STU2026139,18,Male,Electronics & Comm,I,Sem-2,60,56,59,60,62,5.84,2,22,10,2,2,8,5,2,78,55,60,54,61,Declining,Average,0
STU2026140,21,Female,Electronics & Comm,IV,Sem-7,54,62,61,57,52,5.9,3,17,9,8,1,8,3,4,50,43,64,63,82,Improving,Average,0
STU2026141,20,Male,Electrical,IV,Sem-7,71,70,69,76,80,7.36,0,21,7,7,4,3,7,0,100,83,78,75,100,Declining,Excellent,0
STU2026142,18,Female,AIDS,I,Sem-1,86,84,83,76,69,7.92,0,27,10,6,6,4,7,0,100,90,74,74,100,Improving,Excellent,0
STU2026143,18,Female,Information Technology,II,Sem-4,60,64,55,60,52,6.16,2,17,4,6,0,4,3,2,76,53,61,59,73,Improving,Average,0
STU2026144,21,Male,Mechanical,IV,Sem-8,66,69,71,64,58,6.6,0,20,0,1,0,0,6,0,100,72,60,69,58,Improving,Good,0
STU2026145,19,Male,Mechanical,II,Sem-3,57,57,56,58,55,5.76,1,21,10,6,3,7,3,2,78,51,63,58,80,Improving,Average,0
STU2026146,18,Male,Information Technology,III,Sem-5,77,76,67,71,73,7.3,0,21,7,1,2,5,7,0,100,80,72,73,68,Declining,Very Good,0
STU2026147,21,Female,Mechanical,I,Sem-2,59,60,55,56,50,5.76,3,18,5,1,1,4,5,1,85,60,62,64,55,Improving,Average,0
STU2026148,19,Female,Electrical,II,Sem-4,63,65,59,56,63,5.96,2,19,2,5,2,0,6,1,88,66,54,63,77,Declining,Good,0
STU2026149,19,Male,Electrical,IV,Sem-8,77,80,82,81,78,8.06,0,21,9,0,6,3,5,0,99,81,68,74,81,Improving,Very Good,0
STU2026150,19,Female,Information Technology,IV,Sem-8,64,71,64,67,70,6.86,0,23,0,7,0,0,5,0,100,74,64,74,85,Declining,Very Good,0
STU2026151,19,Female,Computer Science,IV,Sem-8,65,52,64,50,49,5.08,1,23,9,5,6,3,6,2,80,58,55,64,86,Improving,Average,0
STU2026152,19,Male,Computer Science,III,Sem-6,68,69,72,70,70,6.96,0,26,8,1,1,7,7,0,95,81,71,75,66,Improving,Good,0
STU2026153,19,Male,Information Technology,II,Sem-4,92,90,88,89,85,8.94,0,28,10,4,5,5,8,0,100,95,88,78,100,Improving,Excellent,0
STU2026154,18,Female,Mechanical,III,Sem-6,65,62,56,55,61,5.78,3,23,5,1,5,0,6,0,98,71,69,61,72,Declining,Average,0
STU2026155,21,Female,Electronics & Comm,III,Sem-6,65,71,76,68,61,6.92,0,19,1,7,0,1,4,0,97,72,74,70,85,Improving,Very Good,0
STU2026156,18,Female,Information Technology,II,Sem-4,45,41,51,45,39,4.34,2,19,10,2,0,10,5,3,62,42,54,53,47,Improving,At Risk,1
STU2026157,18,Male,Computer Science,II,Sem-4,45,39,49,32,30,4.0,3,15,1,6,1,0,3,4,48,35,50,50,62,Improving,At Risk,1
STU2026158,18,Male,Computer Science,III,Sem-6,85,86,82,81,75,8.3,0,28,9,0,4,5,6,0,100,93,88,91,84,Improving,Very Good,0
STU2026159,19,Male,Electrical,IV,Sem-7,45,38,40,45,48,4.22,2,15,2,3,2,0,2,2,79,36,50,51,54,Declining,At Risk,1
STU2026160,18,Female,Information Technology,II,Sem-4,49,60,54,59,63,5.94,1,17,7,1,4,3,3,3,64,45,52,56,61,Declining,Needs Improvement,1
STU2026161,22,Female,Electronics & Comm,II,Sem-4,99,85,82,83,75,8.38,0,27,3,0,0,3,8,0,100,100,90,93,76,Improving,Excellent,0
STU2026162,22,Female,Electrical,IV,Sem-7,77,76,69,72,66,7.36,0,23,1,8,1,0,5,0,100,79,75,73,96,Improving,Excellent,0
STU2026163,22,Male,Electronics & Comm,IV,Sem-7,45,49,47,34,40,4.0,3,16,0,4,0,0,3,1,83,41,50,50,50,Declining,Needs Improvement,1
STU2026164,18,Male,Electrical,III,Sem-6,45,52,48,40,32,4.48,2,20,6,4,4,2,2,3,68,36,50,50,67,Improving,At Risk,1
STU2026165,21,Female,Computer Science,IV,Sem-7,57,64,54,51,50,5.62,3,21,0,0,0,0,3,2,71,53,67,58,49,Improving,Needs Improvement,1
STU2026166,21,Male,Information Technology,I,Sem-2,48,50,53,48,42,4.88,3,17,1,8,1,0,3,2,74,45,50,52,77,Improving,Average,0
STU2026167,18,Female,Electronics & Comm,III,Sem-6,45,36,47,39,40,4.0,3,19,4,3,3,1,4,4,50,35,50,50,57,Declining,At Risk,1
STU2026168,18,Female,Computer Science,II,Sem-4,79,81,65,73,65,7.62,0,27,10,6,6,4,6,0,96,81,71,75,100,Improving,Excellent,0
STU2026169,19,Female,Electrical,I,Sem-1,74,71,76,84,89,7.88,0,27,5,7,5,0,4,0,100,81,72,79,100,Declining,Excellent,0
STU2026170,19,Female,Computer Science,I,Sem-2,72,71,76,73,75,7.22,0,27,6,5,2,4,7,0,99,84,73,70,88,Declining,Very Good,0
STU2026171,19,Male,Mechanical,I,Sem-1,45,44,47,47,42,4.58,3,15,3,7,2,1,5,3,60,39,50,50,70,Improving,Needs Improvement,1
STU2026172,20,Male,Information Technology,III,Sem-5,45,42,48,49,42,4.62,3,15,4,2,0,4,5,4,55,35,50,50,44,Improving,At Risk,1
STU2026173,21,Male,Information Technology,I,Sem-1,47,38,40,37,41,4.0,2,17,10,1,4,6,4,1,83,43,50,50,50,Declining,At Risk,1
STU2026174,21,Male,Computer Science,III,Sem-5,45,34,40,43,47,4.0,2,12,6,6,1,5,4,2,73,38,50,50,60,Declining,Needs Improvement,1
STU2026175,21,Male,Computer Science,II,Sem-4,68,66,59,58,58,6.12,2,20,6,3,5,1,5,0,100,72,58,66,82,Improving,Good,0
STU2026176,20,Female,Mechanical,IV,Sem-8,92,87,92,87,84,8.7,0,25,5,3,0,5,7,0,95,97,93,89,86,Improving,Excellent,0
STU2026177,20,Male,Information Technology,I,Sem-1,74,76,67,71,75,7.3,0,23,2,2,1,1,6,0,100,82,66,79,73,Declining,Very Good,0
STU2026178,20,Male,Mechanical,II,Sem-4,65,68,61,60,53,6.32,1,23,3,0,3,0,7,0,95,78,70,71,66,Improving,Good,0
STU2026179,19,Male,Electronics & Comm,II,Sem-4,45,44,40,34,42,4.0,2,12,5,6,4,1,2,3,63,35,50,50,70,Declining,At Risk,1
